chapter,verse,sanskrit,hindi,english,transliteration
1,1,धृतराष्ट्र उवाच |धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः |मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय |,"धृतराष्ट्र ने कहा—हे संजय! धर्मभूमि कुरुक्षेत्र में एकत्रित, युद्ध की इच्छा वाले मेरे और पाण्डु के पुत्रों ने क्या किया?","Dhritarashtra said: Sanjaya, gathered on the sacred soil of Kurukshetra, eager to fight, what did my children and the children of Pandu do?",dhṛtarāṣṭra uvāca .dharmakṣetre kurukṣetre samavetā yuyutsavaḥ .māmakāḥ pāṇḍavāścaiva kimakurvata sañjaya 
1,2,सञ्जय उवाच |दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा |आचार्यमुपसंगम्य राजा वचनमब्रवीत् |,संजय ने कहा—उस समय राजा दुर्योधन ने व्यूह रचनायुक्त पाण्डवों की सेना को देखकर और द्रोणाचार्य के पास जाकर यह वचन कहा।,"Sanjaya said: At that time, seeing the army of the Pandavas drawn up for battle and approaching Dronacharya King Duryodhana spoke these words:",sañjaya uvāca .dṛṣṭvā tu pāṇḍavānīkaṃ vyūḍhaṃ duryodhanastadā .ācāryamupasaṃgamya rājā vacanamabravīt 
1,3,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् |व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता |,हे आचार्य! आपके बुद्धिमान शिष्य द्रुपदपुत्र धृष्टद्युम्न द्वारा व्यूहाकार खड़ी की हुई पाण्डु पुत्रों की इस बड़ी भारी सेना को देखिये |,"Behold, Master, the mighty army of the sons of Pandu arrayed for battle by your talented pupil, Dhristadyumna, son of Drupada.",paśyaitāṃ pāṇḍuputrāṇāmācārya mahatīṃ camūm .vyūḍhāṃ drupadaputreṇa tava śiṣyeṇa dhīmatā 
1,4,अत्र शूरा महेष्वासा भीमार्जुनसमा युधि |युयुधानो विराटश्च द्रुपदश्च महारथः |,"इस सेना में बड़े-बड़े धनुषों वाले तथा युद्ध में भीम और अर्जुन के समान शूरवीर युयुधान, विराट और महारथी द्रुपद भी हैं।","The strong Yodhamanyu and the brave Uttamaujas, the son\nof Subhadra, and the sons of Draupadi, all of great chariots",atra śūrā maheṣvāsā bhīmārjunasamā yudhi .yuyudhāno virāṭaśca drupadaśca mahārathaḥ 
1,5,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् |पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुंगवः |,"धृष्टकेतु, चेकितान, बलवान काशिराज,  पुरुजित्, कुन्तिभोज और मनुष्यों में श्रेष्ठ शैब्य।","Dhrishtaketu, chekitana and the valiant king of Kasi, Purujit and Kuntibhoja and Saibya, the best men",dhṛṣṭaketuścekitānaḥ kāśirājaśca vīryavān .purujitkuntibhojaśca śaibyaśca narapuṃgavaḥ 
1,6,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् |सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः |,"युधामन्यु, विक्रांत, उत्तमौजा, वीर्यवान् सौभद्र और द्रौपदी के पुत्र सभी महारथी हैं। और भी मेरे लिये जीवन की आशा त्याग देने वाले बहुत-से शूरवीर अनेक प्रकार के शस्त्रास्त्रों से सुसज्जित और सब-के-सब युद्ध में चतुर हैं |","the best of men and mighty Yudhamanyu, and valiant Uttamauja, Abhimanyu, the son of Subhadra, and the five sons of Draupadi,—all of them Maharathis.",yudhāmanyuśca vikrānta uttamaujāśca vīryavān .saubhadro draupadeyāśca sarva eva mahārathāḥ 
1,7,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम |नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते |,"हे ब्राह्मणश्रेष्ठ! अपने पक्ष में भी जो प्रधान हैं, उनको आप समझ लीजिये। आपकी जानकारी के लिये मेरी सेना के जो-जो सेनापति हैं, उनको बतलाता हूँ|","Know also, O best among the twice-born! the names of those who are the most distinguished amongst ourselves, the leaders of my army; these I name to thee for thy information.",asmākaṃ tu viśiṣṭā ye tānnibodha dvijottama .nāyakā mama sainyasya saṃjñārthaṃ tānbravīmi te 
1,8,भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः |अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च |,"आप—द्रोणाचार्य और पितामह भीष्म तथा कर्ण और संग्राम विजयी कृपाचार्य तथा वैसे ही अश्वत्थामा, विकर्ण और सौमदत पुत्र भूरिश्रवा |","Yourself and Bhishma and Karna and Kripa, who is ever victorious in battle; and even so Asvatthama, Vikarna and Bhurisrava;",bhavānbhīṣmaśca karṇaśca kṛpaśca samitiñjayaḥ .aśvatthāmā vikarṇaśca saumadattistathaiva ca 
1,9,अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः |नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः |,और भी मेरे लिये जीवन की आशा त्याग देने वाले बहुत-से शूरवीर अनेक प्रकार के शस्त्रास्त्रों से सुसज्जित और सब-के-सब युद्ध में चतुर हैं |,"And there are many other heroes, equipped with various weapons and missiles, who have staked their lives for me, all skilled in warfare.",anye ca bahavaḥ śūrā madarthe tyaktajīvitāḥ .nānāśastrapraharaṇāḥ sarve yuddhaviśāradāḥ 
1,10,अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् |पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् |,भीष्म पितामह द्वारा रक्षित हमारी वह सेना सब प्रकार से अजेय है और भीम द्वारा रक्षित इन लोगों की यह सेना जीतने में सुगम है |,"This army of ours, fully protected byBhishma, is unconquerable; while that army of theirs, guarded in every way by Bhima, is easy to conquer.",aparyāptaṃ tadasmākaṃ balaṃ bhīṣmābhirakṣitam .paryāptaṃ tvidameteṣāṃ balaṃ bhīmābhirakṣitam 
